numElecteur,numCIN,nom,prenom,dateNaissance,lieuNaissance,sexe,bureauVote
EER690551,5461270551481,NDONG,Mamadou,2006-10-03,THIES,F,ECOLE ELEMENTAIRE BANGO - SAINT-LOUIS
UYD424848,8825537839465,FAYE,Mame,1945-03-28,LOUGA,F,ECOLE ELEMENTAIRE LOUGA NORD
WMJ154466,3115521639957,THIAM,Rama,1948-09-26,KOUNGHEUL,M,ECOLE PRIMAIRE DE SALEMATA
VIR030285,5310930061683,MBODJ,Ramatoulaye,1962-06-02,KAOLACK,M,LYCEE MAME CHEIKH MBAYE - TAMBACOUNDA
FEF632225,2894598778117,TOURE,Abdoulaye,1953-04-18,PODOR,M,LYCEE DE KOUNGHEUL
OOK119499,1614913168032,NDIAYE,Malick,2007-01-11,BAMBEY,M,ECOLE ELEMENTAIRE DIOURBEL CENTRE
XFA121484,1195467000158,SAMB,Sokhna,1959-04-08,TAMBACOUNDA,F,ECOLE COMMUNALE DE NDOULO
GQK815846,1816216204843,DIARRA,Idrissa,1970-02-12,DAGANA,M,ECOLE PRIMAIRE DE SALEMATA
AKF776449,9833525942050,DIA,Abdoulaye,2004-07-19,BAKEL,F,ECOLE ELEMENTAIRE LOUGA NORD
HAP821446,7751967776762,DIOUF,Daba,1982-09-23,VELINGARA,F,ECOLE COMMUNALE DE KANEL
MGU458090,8900992605697,GUEYE,Ndeye,1952-01-06,SAINT-LOUIS,M,ECOLE ELEMENTAIRE BANGO - SAINT-LOUIS
UQS700417,0338475750372,SALL,Aliou,1991-07-27,KOLDA,F,COLLEGE SACRE-COEUR - DAKAR
NVJ055671,1945303056391,SAMB,Rokhaya,1965-05-31,DIOURBEL,M,ECOLE ELEMENTAIRE MEDINA BAYE
YCX888712,0808999858821,CAMARA,Boubacar,1976-12-22,JOAL,M,ECOLE ELEMENTAIRE SEDHIOU CENTRE
HWN100030,9407949770091,SECK,Ibrahima,1975-04-29,MBOUR,M,LYCEE DE KOUNGHEUL
HFG386601,4338671914571,NDAO,Malick,1983-07-17,SAINT-LOUIS,F,ECOLE ELEMENTAIRE OUROSSOGUI
URO277785,5195769216408,GOMIS,Fode,2003-10-05,TOUBA,F,COLLEGE PRIVE DE FATICK
WNW543883,6175203468634,TOURE,Coumba,1952-07-05,PODOR,M,ECOLE ELEMENTAIRE BANDAFASSI
ZFN136035,2071630564978,SOW,Demba,1998-06-08,TAMBACOUNDA,M,ECOLE ELEMENTAIRE SIKILO - KOLDA
KQH771811,2921751719325,TOURE,Mariama,1953-08-20,TOUBA,M,ECOLE SERIGNE BASSIROU MBACKE - KAOLACK
ZEF066434,9742128986535,MBAYE,Seynabou,1964-03-28,ZIGUINCHOR,F,ECOLE SAMBA NDIAYE - FATICK
TAZ087060,2891978280896,BADJI,Binta,1958-11-18,TOUBA,M,ECOLE COMMUNALE DE BAKEL
WBU417010,8349167769344,GUEYE,Aliou,1979-09-04,JOAL,F,LYCEE TANK - KOLDA
VFR746228,7996390205698,FALL,Maguette,1951-05-17,NDIOUM,M,ECOLE ELEMENTAIRE BANGO - SAINT-LOUIS
OCU147143,4436388459575,GUEYE,Daba,1977-04-13,FATICK,F,ECOLE COMMUNALE DE KANEL
ISQ911505,4133524325711,SY,Abdoulaye,1955-08-11,NDIOUM,M,ECOLE ELEMENTAIRE RANDOULENE - THIES
TUM639715,1986529979499,FAYE,Malick,1981-07-15,MATAM,F,ECOLE ELEMENTAIRE SIKILO - KOLDA
UWO611830,8037420080493,SALL,Modou,1950-05-11,KAFFRINE,M,ECOLE SAMBA NDIAYE - FATICK
QZS840158,0786915876309,BA,Mamadou,1969-08-23,NDIOUM,M,LYCEE DE KOUNGHEUL
TQY686553,1839656083145,MBODJ,Demba,1981-03-15,SEDHIOU,F,LYCEE MBACKE - TOUBA
SBG010615,0468977630098,SECK,Fode,1941-02-28,PIKINE,M,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
ZTN747588,0205106068640,FAYE,Moussa,1957-04-17,MBOUR,F,ECOLE ELEMENTAIRE SIKILO - KOLDA
IZB004897,0083146013535,DIARRA,Mamadou,1975-12-15,VELINGARA,M,LYCEE LIMAMOULAYE - GUEDIAWAYE
NVM644371,1648018995884,THIAM,Awa,1995-06-15,MBACKE,M,COLLEGE PRIVE DE FATICK
LUA269925,8177368848482,LO,Mansour,1994-03-16,JOAL,M,ECOLE ELEMENTAIRE SEDHIOU CENTRE
AVJ658336,3058924400347,GOMIS,Pape,1970-06-29,KAOLACK,M,ECOLE ELEMENTAIRE DIAKHAO
IMY314601,3116532217246,TOURE,Fatou,1986-11-22,LOUGA,F,ECOLE ELEMENTAIRE KAFFRINE CENTRE
FNF138370,3343559931385,MBODJ,Dieynaba,1943-08-03,SAINT-LOUIS,M,ECOLE PRIMAIRE DE SALEMATA
WRD623445,9087427010413,FAYE,Coumba,1940-06-04,DIOURBEL,F,ECOLE PRIMAIRE DE BIRKELANE
JER263750,6777732078259,DIA,Daba,2000-09-17,SAINT-LOUIS,M,ECOLE ELEMENTAIRE SEDHIOU CENTRE
HKC010841,0964058577437,LY,Idrissa,1961-01-31,KOLDA,M,ECOLE SERIGNE BASSIROU MBACKE - KAOLACK
XVE884832,9321337782736,DIOUF,Boubacar,2005-03-29,THIES,F,ECOLE ELEMENTAIRE BANGO - SAINT-LOUIS
CZF073742,8337796867968,DIOP,Awa,1986-11-20,VELINGARA,M,ECOLE ELEMENTAIRE DIAKHAO
KKQ800889,0586038256798,LO,Idrissa,1994-04-09,SAINT-LOUIS,F,ECOLE PRIMAIRE DE VELINGARA
GTX589430,5265257533950,NDIAYE,Oumar,2002-07-26,MBACKE,F,ECOLE NEMA - ZIGUINCHOR
NSE800586,0021917525747,SECK,Binta,2004-11-24,BAKEL,M,LYCEE DEPARTEMENTAL DE SEDHIOU
AKD676791,1949921412789,NDIAYE,Aissatou,1956-03-15,BAKEL,F,ECOLE ELEMENTAIRE MEDINA BAYE
MFN431682,8321910714277,SY,Mamadou,1968-02-12,NIORO DU RIP,M,ECOLE ELEMENTAIRE DIOURBEL CENTRE
DWP088198,0071047032285,TOURE,Ndeye,1966-10-03,MBOUR,F,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
QBI755504,7442600012426,CAMARA,Idrissa,2003-08-21,KEDOUGOU,M,LYCEE TANK - KOLDA
YNM547755,6843829761429,BA,Seynabou,1958-09-15,KEDOUGOU,F,ECOLE PRIMAIRE DE BIRKELANE
FER630810,1662872269169,THIAM,Coumba,1938-11-17,DAKAR,M,LYCEE TANK - KOLDA
OUH560661,5243563116043,THIAM,Fatou,1964-12-29,PIKINE,M,ECOLE PRIMAIRE DE GOUDOMP
QOV626273,6951021342085,NIANG,Seynabou,1966-10-04,SAINT-LOUIS,F,ECOLE ELEMENTAIRE SIKILO - KOLDA
GYR415064,1735858648265,MBENGUE,Daba,1962-10-06,KOUNGHEUL,M,ECOLE ELEMENTAIRE KAFFRINE CENTRE
DNI341413,2910056068985,TOURE,Ousmane,1967-03-18,VELINGARA,F,ECOLE NEMA - ZIGUINCHOR
WWX079304,3782379888826,CISSE,Rokhaya,1990-09-05,NDIOUM,F,LYCEE DE KEDOUGOU
WGZ206254,3372724624417,BA,Ndeye,1986-10-29,GUEDIAWAYE,F,ECOLE PRIMAIRE DE BIRKELANE
ZEP462687,4578681619433,DIARRA,Daba,2004-05-06,THIES,F,LYCEE DJIGNABO - ZIGUINCHOR
VJL261524,3475107015087,SECK,Rokhaya,1990-01-22,KAOLACK,F,ECOLE POINT E - FANN
ORR210459,9328444433616,SAMB,Mariama,1982-07-21,KOUNGHEUL,F,LYCEE DEPARTEMENTAL DE SEDHIOU
OPN273143,5216575086476,NDAO,Mansour,1979-10-03,KEDOUGOU,F,ECOLE PRIMAIRE DE KEBEMER
TQL843835,7613901522514,GOMIS,Seynabou,1998-03-25,KEDOUGOU,F,ECOLE ELEMENTAIRE SIKILO - KOLDA
SER697530,2970185522036,FALL,Daba,1943-11-27,GUEDIAWAYE,M,ECOLE ELEMENTAIRE OUROSSOGUI
HGK747057,7923359193764,SALL,Babacar,1997-08-05,ZIGUINCHOR,F,ECOLE ELEMENTAIRE BANDAFASSI
SSP178516,8169101711980,TOURE,Ramatoulaye,1935-11-08,JOAL,M,LYCEE DE MATAM
XOI852992,5177267865843,WADE,Ndeye,1953-08-09,NDIOUM,M,LYCEE MALICK SY - THIES
ZSC495675,2366309907091,CAMARA,Moussa,1947-05-01,ZIGUINCHOR,F,ECOLE PRIMAIRE DE SALEMATA
KPO947807,8274306194956,SEYDI,Maguette,1994-03-30,PODOR,M,ECOLE ELEMENTAIRE BANGO - SAINT-LOUIS
PDI012634,7444907985318,SOW,Seynabou,1967-11-08,DIOURBEL,M,ECOLE ELEMENTAIRE DIAKHAO
OHQ744769,2830716022213,DIOUF,Seynabou,1995-02-09,TOUBA,M,ECOLE PRIMAIRE DE VELINGARA
ANY889100,4454622342788,MBODJ,Dieynaba,2002-02-04,LOUGA,M,ECOLE ELEMENTAIRE BANDAFASSI
UUX867702,5938650286189,BADJI,Moussa,1966-06-05,LINGUERE,M,ECOLE ELEMENTAIRE BANGO - SAINT-LOUIS
DOT903246,1061331316875,WADE,Demba,1946-11-14,VELINGARA,F,CENTRE CULTUREL - THIES
BEG301067,7822864975842,NDIAYE,Ramatoulaye,1944-03-17,TOUBA,M,ECOLE ELEMENTAIRE LOUGA NORD
PBB807637,0712209829339,GUEYE,Omar,2002-11-30,KEBEMER,F,LYCEE DEPARTEMENTAL DE SEDHIOU
TYM732357,2506611110630,DIOUF,Omar,1943-02-01,JOAL,M,LYCEE DJIGNABO - ZIGUINCHOR
MVC404285,1964278451742,NDIAYE,Cheikh,1997-12-12,LOUGA,F,ECOLE COMMUNALE DE KANEL
PVX451738,1802508729183,BADJI,Oumar,1935-08-05,LINGUERE,F,CENTRE CULTUREL - THIES
YDR117391,5444338630470,SARR,Daba,2004-07-22,JOAL,F,LYCEE MAME CHEIKH MBAYE - TAMBACOUNDA
YED648905,4321168421698,NDIAYE,Samba,1987-04-03,THIES,M,ECOLE ELEMENTAIRE KAFFRINE CENTRE
DRJ734212,0862777676969,WADE,Ndeye,1961-04-12,DAGANA,M,ECOLE NEMA - ZIGUINCHOR
VNZ821811,0957065308228,NDONG,Babacar,1996-04-28,FATICK,F,ECOLE ELEMENTAIRE KAFFRINE CENTRE
WZS598236,2486380202740,CAMARA,Fatou,1974-09-23,TIVAOUANE,M,ECOLE PRIMAIRE DE GOUDOMP
ABJ955526,4188267751185,KA,Ousmane,1941-04-13,TAMBACOUNDA,M,LYCEE LIMAMOULAYE - GUEDIAWAYE
NXD882106,5180031607553,NDIAYE,Daba,1962-06-29,KEBEMER,F,COLLEGE SACRE-COEUR - DAKAR
ZXS881104,8365390777139,GUEYE,Rokhaya,1995-03-21,BAMBEY,M,LYCEE MBACKE - TOUBA
KZD725479,0522026735897,NIANG,Fode,1955-02-26,PODOR,M,COLLEGE SACRE-COEUR - DAKAR
ZUN243465,8786031192873,SEYDI,Abdoulaye,1942-08-04,MBOUR,M,ECOLE MARIAMA NIASS - GRAND DAKAR
RIG413014,3589843981849,SEYDI,Dieynaba,1951-06-27,MATAM,F,ECOLE SAINT JOSEPH - ZIGUINCHOR
ZUM897952,6003131013381,DIALLO,Binta,1991-02-11,MEKHE,F,ECOLE ELEMENTAIRE SIKILO - KOLDA
WCR196402,9789446226681,LO,Boubacar,1985-12-01,MEKHE,M,LYCEE DJIGNABO - ZIGUINCHOR
RCV354228,7008359117647,MBENGUE,Ndeye,1949-12-21,TAMBACOUNDA,F,ECOLE ELEMENTAIRE KAFFRINE CENTRE
SPX465717,2889446403054,SARR,Modou,1991-04-10,SAINT-LOUIS,F,LYCEE MBACKE - TOUBA
VZF897701,5013974175162,MBENGUE,Daba,1957-11-13,BAMBEY,F,ECOLE COMMUNALE DE BAKEL
LQT832741,8056971809647,LY,Boubacar,1954-04-17,FATICK,M,LYCEE LIMAMOULAYE - GUEDIAWAYE
RXZ490019,7725010444269,GOMIS,Mame,1968-08-02,MBACKE,F,ECOLE ELEMENTAIRE CHEIKH TOURE - SAINT-LOUIS
YCY119688,7602096117082,SEYDI,Oumar,1999-07-27,BAKEL,F,ECOLE ELEMENTAIRE RANDOULENE - THIES
QLB539886,4682524746279,MBAYE,Aissatou,1996-07-21,LINGUERE,F,UNIVERSITE GASTON BERGER - SAINT-LOUIS
BVL073440,3069478098889,MBODJ,Fallou,1951-09-20,MEKHE,F,ECOLE ELEMENTAIRE SEDHIOU CENTRE
QPZ415748,7586707474716,SALL,Idrissa,1941-05-19,MBOUR,M,ECOLE SAMBA NDIAYE - FATICK
EVM951987,4415108392216,SOW,Ousmane,1950-01-14,DAGANA,M,ECOLE SAINT JOSEPH - ZIGUINCHOR
UUV291077,6173715284634,MBAYE,Astou,2006-07-10,KAFFRINE,F,LYCEE DE KOUNGHEUL
DVI646363,8812228790181,LO,Fode,1981-10-11,VELINGARA,M,ECOLE ELEMENTAIRE KAFFRINE CENTRE
KTV327526,6726030885835,GOMIS,Coumba,1958-08-12,BAKEL,M,ECOLE ELEMENTAIRE DIAKHAO
HYT454124,0049277576207,THIAM,Abdoulaye,1974-01-22,NIORO DU RIP,M,LYCEE DJIGNABO - ZIGUINCHOR
JYP638025,9514704330374,SEYDI,Abdoulaye,1949-09-14,THIES,M,ECOLE ELEMENTAIRE LOUGA NORD
XDI174391,5528106431846,FAYE,Sokhna,1963-04-14,SEDHIOU,F,LYCEE MALICK SY - THIES
DWM161184,0568826021495,CISSE,Awa,2001-02-04,SAINT-LOUIS,M,ECOLE COMMUNALE DE NDOULO
JLQ312570,8836071693855,FALL,Mame,2003-07-08,KEBEMER,M,ECOLE ELEMENTAIRE TAMBACOUNDA CENTRE
LSW528024,3999603327660,FAYE,Pape,1935-09-01,KEBEMER,F,ECOLE ELEMENTAIRE LOUGA NORD
ANJ890723,1615550420855,CISSE,Maguette,1990-05-05,SAINT-LOUIS,F,LYCEE TANK - KOLDA
FME081689,1558606037223,DIA,Dieynaba,1990-08-16,RUFISQUE,M,ECOLE ELEMENTAIRE OUROSSOGUI
MWJ378999,0373898170746,SAMB,Samba,2001-06-03,RUFISQUE,F,ECOLE PRIMAIRE DE SALEMATA
